kilometrage,age_vehicule,regime_moteur,temperature_moteur,pression_huile,tension_batterie,type_carburant,nbre_entretiens,etat
169231,12,941,63,2.4,13.6,essence,10,entretien_conseille
18986,10,4597,68,2.2,12.0,diesel,11,aucune_panne
66858,6,4795,64,2.9,14.3,essence,1,entretien_conseille
134312,8,2979,115,4.5,11.6,essence,19,panne_probable
17666,2,1488,109,3.6,11.2,diesel,14,panne_probable
139633,12,1414,74,2.1,13.7,essence,19,aucune_panne
293998,13,3549,91,3.8,12.8,diesel,3,panne_probable
109488,7,1475,87,1.2,14.2,essence,17,entretien_conseille
188323,10,4726,81,0.6,12.5,essence,5,panne_probable
289806,13,2947,76,1.3,11.6,diesel,18,panne_critique
275536,17,778,118,1.9,14.2,essence,10,panne_critique
35535,14,4626,116,2.5,13.1,essence,1,panne_critique
82373,2,1555,85,3.0,11.7,essence,7,aucune_panne
128684,11,2848,84,4.1,13.7,diesel,10,aucune_panne
278109,1,1731,69,2.5,12.9,diesel,4,entretien_conseille
29538,19,3971,104,2.5,13.3,essence,17,entretien_conseille
206664,4,4276,70,0.7,12.8,essence,17,panne_probable
144182,19,4882,112,0.6,14.1,essence,13,panne_critique
163338,11,4156,127,2.7,14.2,diesel,9,panne_critique
189064,8,4206,87,2.3,13.7,diesel,2,panne_probable
219020,11,1107,124,3.9,11.4,essence,8,panne_critique
103806,4,3411,108,1.1,14.2,diesel,2,panne_critique
95982,17,3788,106,0.6,13.5,diesel,10,panne_critique
126626,7,2368,111,2.3,13.6,diesel,11,entretien_conseille
124176,8,847,113,1.4,12.4,diesel,11,panne_probable
223126,3,4597,119,0.7,14.3,essence,2,panne_critique
223969,2,2650,116,3.4,13.8,diesel,6,panne_probable
127409,15,1065,106,0.9,11.4,diesel,13,panne_critique
28419,5,2374,90,2.9,12.5,essence,10,aucune_panne
258618,1,3246,105,1.6,14.4,essence,6,entretien_conseille
250310,4,1262,85,1.2,11.2,diesel,9,panne_critique
55015,15,4262,64,2.0,14.7,diesel,10,aucune_panne
253550,19,3189,111,3.7,13.6,essence,14,panne_critique
127096,3,1472,113,2.1,13.4,essence,18,entretien_conseille
112059,11,2737,92,3.5,12.0,essence,15,aucune_panne
190340,17,4123,109,1.0,11.9,diesel,19,panne_critique
115687,13,3267,97,3.6,14.6,diesel,11,aucune_panne
216428,11,2273,86,1.4,12.1,essence,17,panne_probable
110878,2,4394,74,3.2,13.9,diesel,12,aucune_panne
207982,9,3991,120,2.8,12.5,essence,4,panne_probable
203286,2,1946,80,4.2,11.5,diesel,3,entretien_conseille
254002,9,4419,105,2.0,11.0,essence,13,panne_critique
255396,9,4539,128,0.8,13.1,essence,7,panne_critique
169899,8,1059,65,0.6,14.7,diesel,8,panne_probable
48585,17,3076,97,3.8,12.4,diesel,18,entretien_conseille
69044,1,3709,121,2.6,12.4,diesel,2,panne_probable
114556,11,3693,121,3.6,12.3,diesel,4,entretien_conseille
7693,8,1662,105,1.4,13.0,diesel,17,entretien_conseille
248307,10,4332,72,1.9,12.7,diesel,0,panne_probable
205235,7,2527,62,0.6,14.3,essence,7,panne_probable
30939,3,2313,65,4.3,12.9,diesel,18,aucune_panne
157906,3,2340,67,3.2,12.9,essence,16,aucune_panne
23047,18,2916,103,4.2,11.5,essence,16,panne_probable
293249,5,1077,92,1.6,14.7,diesel,10,entretien_conseille
80766,12,4914,109,2.9,11.9,essence,1,panne_critique
49262,12,4985,70,3.2,11.3,essence,5,entretien_conseille
290920,19,1069,87,1.8,13.5,diesel,13,panne_critique
166152,6,2896,129,3.9,13.3,diesel,2,panne_critique
133376,2,4447,100,4.3,12.6,diesel,11,aucune_panne
142848,12,1351,75,4.0,12.6,essence,3,aucune_panne
97787,19,1469,127,3.5,14.0,diesel,11,panne_probable
132948,5,3121,107,1.6,11.7,diesel,12,panne_probable
60016,12,1480,115,1.6,14.1,diesel,1,panne_probable
26959,17,2416,123,4.4,13.5,diesel,1,panne_critique
141602,17,4683,118,0.5,12.6,essence,14,panne_critique
230928,10,2011,121,3.4,12.7,diesel,16,panne_probable
270892,17,4059,70,3.3,12.0,essence,6,panne_critique
233576,15,1222,77,3.0,13.9,diesel,13,entretien_conseille
18545,12,1221,78,4.5,12.9,essence,11,aucune_panne
170838,16,3020,114,1.7,12.2,essence,16,panne_critique
66087,19,1635,85,1.9,13.3,essence,13,entretien_conseille
73840,8,2930,65,0.8,14.8,diesel,5,entretien_conseille
123451,17,4740,63,2.3,12.7,essence,18,entretien_conseille
44353,5,4397,88,1.5,14.5,diesel,5,aucune_panne
198075,16,3537,118,1.9,12.3,diesel,17,panne_critique
219283,6,4783,76,3.8,11.2,diesel,4,panne_probable
70318,8,3161,102,4.2,11.8,diesel,5,aucune_panne
246025,18,3943,125,1.2,12.6,diesel,1,panne_critique
72172,12,4059,93,2.0,11.8,essence,7,entretien_conseille
221688,15,1385,67,4.2,11.0,diesel,14,panne_probable
261951,9,2860,72,0.7,14.5,essence,14,panne_critique
98264,13,4688,67,0.9,14.2,essence,10,panne_probable
251458,15,4766,124,1.2,13.8,essence,0,panne_critique
293880,10,2267,102,2.9,11.6,essence,17,panne_probable
230281,16,738,98,1.1,11.5,essence,11,panne_critique
117859,7,3244,118,4.4,11.3,essence,11,panne_probable
274536,17,1956,103,2.3,13.8,essence,10,panne_critique
262426,7,3690,68,2.5,14.5,diesel,7,entretien_conseille
182789,14,2896,96,1.5,12.6,essence,6,entretien_conseille
223164,15,4168,95,2.4,11.5,diesel,1,panne_critique
130657,7,3408,87,3.1,12.9,essence,10,aucune_panne
240167,9,1001,101,3.5,12.3,essence,9,aucune_panne
162381,19,1346,102,3.5,12.4,essence,2,panne_critique
199806,16,2459,101,2.8,13.4,essence,19,panne_probable
75467,8,1297,125,4.1,13.7,diesel,9,entretien_conseille
188734,18,1361,114,3.8,11.4,diesel,17,panne_critique
103506,18,2068,107,3.5,11.1,diesel,13,panne_critique
114751,7,3281,81,0.7,14.8,essence,17,entretien_conseille
292486,3,4568,86,0.5,11.9,essence,7,panne_critique
173229,18,4237,126,1.3,11.2,essence,9,panne_critique
111081,10,982,72,3.2,11.7,diesel,12,aucune_panne
94045,7,4378,104,2.1,11.1,essence,7,entretien_conseille
39698,17,2186,69,2.1,12.5,diesel,3,entretien_conseille
115078,14,4782,68,4.0,14.0,diesel,3,aucune_panne
27671,3,4883,113,4.1,12.3,essence,4,entretien_conseille
91202,12,1160,86,4.1,12.7,essence,0,entretien_conseille
56663,13,3025,93,1.8,13.6,diesel,16,aucune_panne
20708,2,4454,60,3.3,12.9,diesel,1,entretien_conseille
138883,3,3168,91,1.6,14.3,diesel,7,aucune_panne
117547,5,2424,126,1.3,14.3,essence,6,panne_probable
39754,11,2076,79,1.2,11.0,essence,14,panne_probable
231814,8,3443,94,1.9,14.0,essence,4,aucune_panne
242714,12,1214,76,2.2,12.8,essence,1,panne_probable
147483,7,1402,77,3.8,14.8,essence,6,aucune_panne
138983,15,2353,104,1.0,12.8,essence,7,entretien_conseille
219835,17,2766,112,3.4,14.8,diesel,6,panne_critique
89896,4,722,127,2.6,13.9,diesel,6,entretien_conseille
76295,13,3160,124,1.7,11.9,diesel,13,panne_probable
224686,18,2004,60,2.5,13.0,essence,17,panne_probable
278255,1,4000,117,1.7,14.8,diesel,5,panne_critique
137874,16,1061,85,2.9,14.3,essence,3,entretien_conseille
13155,13,4427,79,2.2,11.4,essence,9,entretien_conseille
52254,10,1984,69,1.2,13.7,diesel,17,entretien_conseille
289062,12,1214,118,1.0,12.3,essence,11,panne_critique
90981,2,1148,100,2.7,11.0,diesel,15,aucune_panne
35306,3,2555,64,4.1,12.5,diesel,6,aucune_panne
152718,10,4262,124,1.9,11.9,essence,5,panne_critique
125975,2,3220,76,3.4,14.1,diesel,4,aucune_panne
112512,13,3781,81,3.1,12.3,diesel,2,entretien_conseille
152443,13,2128,100,4.2,14.1,diesel,11,entretien_conseille
138121,18,4667,127,3.8,11.0,diesel,14,panne_critique
167688,3,1622,128,2.8,12.2,essence,9,panne_probable
288076,7,3837,70,3.1,11.9,diesel,19,panne_probable
122796,14,2859,115,4.1,11.9,diesel,18,panne_probable
296999,17,3247,110,2.1,11.3,diesel,15,panne_critique
197506,12,3679,80,1.8,11.7,essence,10,panne_probable
179088,16,2981,85,0.5,13.1,diesel,7,panne_critique
274544,12,3349,78,3.8,12.1,essence,2,panne_critique
178714,15,1013,119,3.7,12.6,diesel,6,panne_probable
20151,10,3313,106,0.9,12.4,diesel,6,panne_probable
71690,7,3783,85,2.8,14.3,diesel,13,aucune_panne
9499,5,2956,99,2.4,14.4,essence,1,aucune_panne
11295,1,1737,64,1.0,12.9,essence,9,entretien_conseille
279327,17,4189,80,4.4,12.3,essence,18,panne_critique
148946,3,3334,63,1.4,11.4,essence,8,panne_probable
37711,13,4683,82,0.8,14.6,essence,15,panne_probable
272683,14,2478,74,2.9,11.2,essence,18,panne_critique
189423,18,4595,67,3.5,12.1,diesel,17,panne_probable
184426,4,1824,100,0.6,12.1,essence,8,panne_probable
138629,18,1397,78,3.1,12.2,diesel,15,entretien_conseille
218090,5,2879,105,2.6,11.6,essence,12,entretien_conseille
138272,16,2104,87,0.9,14.0,essence,9,panne_probable
248548,1,1743,127,1.2,11.5,essence,19,panne_critique
183047,14,2629,74,2.8,13.4,diesel,13,entretien_conseille
288501,15,1713,96,1.7,11.5,essence,11,panne_critique
124121,9,926,60,4.3,11.3,essence,18,aucune_panne
82505,15,2528,126,3.8,14.5,diesel,6,entretien_conseille
7869,17,2723,83,4.4,11.7,diesel,14,panne_probable
262186,4,3152,86,1.5,14.1,diesel,15,entretien_conseille
117296,12,2785,99,4.4,13.1,diesel,7,aucune_panne
99179,5,4983,122,2.2,11.3,essence,9,panne_probable
95272,5,1780,120,1.9,14.6,diesel,3,entretien_conseille
43467,11,3020,95,0.7,11.9,essence,18,panne_probable
290472,6,3890,83,0.7,14.3,essence,18,panne_critique
140059,7,3330,83,3.3,11.6,diesel,14,aucune_panne
63871,14,3263,63,2.3,14.2,essence,13,aucune_panne
133391,11,3992,126,1.4,11.1,diesel,0,panne_critique
91416,13,4286,93,3.0,12.9,essence,15,aucune_panne
261687,2,3647,116,1.5,13.9,diesel,9,panne_critique
206163,7,4659,108,2.8,14.6,diesel,18,panne_probable
112450,4,3513,112,1.9,14.5,diesel,2,panne_probable
176890,8,3283,82,3.8,14.1,diesel,4,aucune_panne
286974,19,861,128,3.8,14.4,diesel,8,panne_critique
121381,13,1293,112,2.4,11.8,diesel,17,panne_probable
52333,14,3959,121,1.9,12.1,essence,10,entretien_conseille
139508,10,4855,100,2.0,12.1,essence,15,aucune_panne
210362,11,3662,116,3.7,12.4,essence,1,panne_critique
155810,2,4588,119,1.8,12.5,diesel,11,panne_probable
297890,9,4090,113,1.3,13.1,essence,5,panne_critique
54377,17,1363,129,0.8,11.6,diesel,10,panne_critique
141672,3,1832,116,2.4,13.6,essence,7,entretien_conseille
230732,6,1241,69,2.4,11.6,essence,11,entretien_conseille
176836,5,3674,99,3.9,12.2,diesel,1,entretien_conseille
210615,5,1567,66,1.4,12.9,essence,8,panne_probable
50714,15,2766,97,2.0,14.0,essence,14,aucune_panne
107946,17,1131,120,3.7,13.8,essence,1,panne_critique
110983,9,4978,62,3.8,13.5,diesel,0,entretien_conseille
192563,3,1906,110,2.0,11.6,essence,9,panne_critique
129123,17,3228,106,2.3,13.1,diesel,1,panne_critique
87989,10,1869,127,1.7,11.3,essence,11,panne_probable
183274,3,1530,97,4.2,12.4,essence,7,aucune_panne
168707,18,2351,95,1.0,12.6,essence,4,panne_critique
270564,18,1836,100,4.2,11.2,essence,0,panne_critique
136373,17,3510,128,3.2,12.0,diesel,14,panne_probable
120294,3,1175,72,2.6,14.6,essence,5,aucune_panne
129019,3,3510,117,0.6,14.6,diesel,11,panne_probable
70726,6,2026,109,2.4,12.3,diesel,7,entretien_conseille
146564,13,1719,89,2.1,11.2,essence,12,entretien_conseille
273246,15,2536,121,1.1,11.7,essence,18,panne_critique
186408,9,4956,84,3.1,12.5,diesel,0,panne_probable
123015,4,3148,86,4.4,14.6,diesel,10,aucune_panne
221386,14,4993,110,2.7,11.5,essence,19,panne_critique
259079,5,1983,116,3.4,13.9,essence,0,panne_critique
31641,2,1359,106,0.8,11.4,essence,7,panne_critique
170656,11,2710,98,2.2,14.7,essence,4,entretien_conseille
168817,9,1098,75,1.0,12.5,essence,16,panne_probable
41631,3,2433,81,3.0,13.9,diesel,7,aucune_panne
247289,9,2825,113,4.3,12.3,essence,9,panne_probable
77991,3,2871,80,3.1,13.4,essence,1,aucune_panne
9014,2,774,75,0.8,11.7,diesel,8,panne_probable
278237,12,4171,118,1.9,11.6,essence,2,panne_critique
23070,10,1536,90,2.7,14.6,essence,17,aucune_panne
61958,9,1199,101,2.1,14.5,diesel,6,aucune_panne
87074,15,837,91,3.8,14.4,essence,14,aucune_panne
15729,8,2797,118,3.8,13.4,diesel,19,entretien_conseille
235785,5,4396,93,2.9,14.1,essence,17,entretien_conseille
181089,11,2585,68,2.0,11.3,essence,2,panne_critique
202392,2,3457,70,1.5,12.3,essence,13,aucune_panne
163823,15,4620,69,0.9,12.2,diesel,1,panne_critique
110864,6,2600,76,1.9,13.4,diesel,13,aucune_panne
214141,8,3310,127,2.2,12.4,diesel,10,panne_probable
59748,5,4686,107,3.2,11.6,diesel,15,panne_probable
10801,16,2149,111,3.1,13.3,essence,7,panne_probable
155262,18,1246,84,0.8,14.1,diesel,6,panne_critique
240362,6,2703,80,2.1,12.5,diesel,10,aucune_panne
34592,5,2796,124,1.2,11.5,diesel,2,panne_critique
277791,16,1403,122,1.1,11.7,essence,16,panne_critique
144788,13,3103,110,3.8,11.9,essence,13,panne_probable
224963,5,2325,95,0.7,12.1,diesel,5,panne_probable
253710,13,4031,125,2.2,13.4,diesel,7,panne_critique
225984,17,3678,74,1.2,13.3,essence,4,panne_critique
263067,18,3539,98,4.0,13.6,diesel,7,panne_critique
269512,8,4084,129,2.7,12.4,diesel,1,panne_critique
82575,13,3359,60,1.4,14.1,diesel,14,entretien_conseille
273799,19,2561,82,2.5,11.8,diesel,11,panne_critique
242549,3,3556,98,3.4,12.8,essence,16,aucune_panne
75031,8,1385,116,4.3,14.0,essence,0,panne_probable
92922,2,4983,93,1.4,11.7,essence,14,panne_probable
129046,8,2319,100,4.0,11.4,diesel,13,aucune_panne
37097,13,2131,72,4.2,14.4,diesel,19,aucune_panne
147038,13,1575,129,4.2,12.3,essence,15,entretien_conseille
129862,1,3161,65,3.0,13.6,essence,8,aucune_panne
235229,6,2065,111,3.0,11.1,essence,0,panne_critique
123834,19,1943,62,2.1,13.6,diesel,16,entretien_conseille
98848,16,862,122,3.5,12.2,essence,12,panne_probable
57921,8,2674,108,2.6,11.2,diesel,4,panne_probable
185798,1,3991,106,3.2,13.3,diesel,9,panne_probable
131141,16,969,114,2.2,11.9,essence,5,panne_critique
186372,9,1331,123,3.4,12.5,essence,18,panne_probable
289821,13,1605,124,3.8,11.3,diesel,12,panne_critique
60609,11,4171,126,1.1,11.6,essence,0,panne_critique
232897,13,3953,74,3.8,12.1,essence,19,entretien_conseille
36024,10,2714,91,2.7,11.3,diesel,14,aucune_panne
75313,4,2341,127,3.9,14.5,diesel,13,entretien_conseille
189078,6,904,77,2.2,11.0,diesel,7,entretien_conseille
118632,7,1281,102,2.0,12.8,diesel,9,aucune_panne
256451,5,1540,94,4.2,11.5,diesel,8,panne_probable
8051,11,2419,117,1.5,12.2,essence,16,entretien_conseille
184819,13,3343,92,3.9,14.5,diesel,8,entretien_conseille
92235,19,2997,73,2.4,11.6,diesel,2,panne_critique
202484,10,1574,93,2.6,14.7,diesel,10,aucune_panne
194407,10,1389,120,1.7,11.8,essence,11,panne_critique
216810,11,4700,63,2.8,13.8,diesel,9,entretien_conseille
208687,7,3841,118,1.8,13.1,diesel,16,panne_probable
78523,18,2122,88,0.7,14.4,diesel,16,panne_probable
241175,4,1371,65,1.6,13.1,essence,10,aucune_panne
99476,2,1871,108,0.5,13.0,diesel,3,panne_probable
238841,14,4426,99,4.4,11.7,diesel,6,panne_probable
284163,13,1643,124,4.4,11.6,diesel,13,panne_critique
227866,12,2149,128,2.1,14.5,essence,6,panne_probable
91672,7,4437,86,3.4,12.2,essence,7,aucune_panne
78847,2,3239,65,1.9,12.4,essence,0,aucune_panne
215706,13,4659,72,3.2,13.9,essence,3,entretien_conseille
33251,14,4960,123,3.7,12.3,diesel,11,panne_probable
108481,17,3061,121,4.3,14.6,diesel,2,panne_critique
30945,9,4352,78,2.1,13.8,essence,12,aucune_panne
37217,17,4370,102,3.6,13.3,essence,19,entretien_conseille
13308,8,2453,79,1.6,14.3,diesel,5,aucune_panne
273093,2,3052,127,4.5,11.2,diesel,10,panne_critique
188062,13,2638,103,0.6,12.0,essence,3,panne_probable
225552,3,1070,82,2.9,12.8,essence,19,aucune_panne
105235,16,2631,61,3.1,11.9,essence,15,panne_probable
79740,6,1124,81,3.3,13.8,essence,6,aucune_panne
230913,19,1594,116,1.0,14.5,diesel,10,panne_critique
284040,7,1297,66,4.3,12.6,essence,0,panne_probable
182247,10,3762,115,1.2,12.3,essence,6,panne_critique
143877,9,3036,126,3.0,14.7,diesel,11,entretien_conseille
10237,2,2387,75,1.4,12.7,diesel,6,entretien_conseille
25056,15,1272,110,1.7,12.9,diesel,6,entretien_conseille
181615,5,2790,71,2.7,12.3,diesel,9,aucune_panne
192628,4,4369,112,2.2,14.5,diesel,15,panne_probable
119548,4,4972,64,1.1,13.2,essence,7,entretien_conseille
139415,18,2333,86,1.2,13.9,essence,8,panne_probable
34375,4,2217,71,2.2,14.1,essence,8,aucune_panne
145734,17,4993,76,3.5,12.3,diesel,1,panne_probable
21964,12,3357,65,4.1,12.6,essence,12,aucune_panne
118429,17,4348,64,0.8,14.2,diesel,12,panne_critique
257764,10,4288,116,2.1,12.4,essence,3,panne_critique
195710,1,2237,87,0.9,14.0,essence,11,panne_probable
221139,18,3837,128,0.6,14.6,diesel,16,panne_critique
72215,18,797,118,3.1,13.4,diesel,1,panne_critique
149356,14,3915,92,2.9,13.8,essence,12,aucune_panne
208861,15,4450,121,1.2,14.1,essence,17,panne_critique
14435,12,3857,109,1.4,14.2,essence,14,panne_critique
180150,4,1043,78,0.6,12.5,essence,7,panne_probable
56293,3,1310,128,3.8,11.2,essence,14,panne_probable
83781,12,2427,125,4.4,12.5,diesel,0,panne_probable
196475,7,2990,106,1.0,13.6,diesel,19,panne_critique
165196,11,2554,98,1.4,12.7,diesel,9,panne_probable
231507,1,3308,127,4.0,13.8,diesel,11,panne_probable
244833,6,2779,92,4.2,12.4,essence,4,aucune_panne
257377,15,3024,72,2.2,13.4,essence,8,panne_probable
171319,15,1877,113,0.7,11.7,diesel,7,panne_critique
126172,19,1791,66,0.7,13.8,essence,15,panne_probable
64101,11,3491,73,2.8,13.1,diesel,13,aucune_panne
293790,2,2449,78,2.1,11.8,essence,12,panne_probable
28049,14,3375,113,0.6,12.1,essence,12,panne_critique
215677,2,1481,79,2.8,13.8,essence,4,aucune_panne
73385,4,3748,88,0.5,12.8,diesel,15,entretien_conseille
131131,17,2805,83,3.6,11.8,diesel,10,panne_probable
201489,3,4567,122,1.7,14.7,diesel,4,panne_probable
28289,13,2813,116,0.7,13.7,diesel,12,panne_critique
276967,9,4670,67,2.9,14.6,essence,10,panne_probable
196232,7,2691,121,2.1,12.6,essence,18,panne_probable
14540,15,1767,88,4.4,12.8,essence,2,entretien_conseille
21364,11,2277,76,2.7,14.4,essence,14,aucune_panne
32663,2,1711,125,1.6,13.0,diesel,6,entretien_conseille
56991,15,2974,65,3.3,13.7,essence,6,aucune_panne
193751,14,2514,117,1.6,12.0,essence,5,panne_probable
167049,11,3126,128,4.1,12.7,essence,2,panne_critique
99704,3,3251,87,2.0,11.5,diesel,12,aucune_panne
54115,17,4357,121,2.7,11.8,diesel,6,panne_critique
224295,12,707,100,0.7,11.0,diesel,4,panne_critique
196962,15,3255,128,2.2,11.1,essence,17,panne_critique
202459,16,1175,100,3.8,14.7,diesel,7,panne_probable
154143,5,2911,108,3.7,11.9,essence,16,panne_critique
195347,6,1184,108,1.4,13.5,essence,19,panne_critique
16938,19,2985,62,1.4,14.2,essence,0,panne_critique
9000,5,4225,69,3.8,13.1,diesel,13,aucune_panne
206660,3,4039,94,4.2,11.6,diesel,16,panne_probable
256492,1,3522,61,0.9,13.8,essence,9,panne_critique
43304,6,3624,83,2.3,13.3,essence,11,aucune_panne
87986,15,958,97,1.8,13.8,diesel,15,aucune_panne
156836,2,982,81,4.0,13.9,diesel,13,aucune_panne
113940,3,2598,85,0.8,14.7,diesel,15,entretien_conseille
270517,17,4835,102,1.3,13.2,essence,7,panne_critique
148233,12,3676,114,3.5,12.3,essence,9,entretien_conseille
102532,18,2967,98,0.7,13.5,essence,16,panne_probable
105386,15,3900,88,2.5,11.3,diesel,17,entretien_conseille
32350,12,1312,79,2.3,14.4,diesel,19,aucune_panne
98008,16,1387,100,1.8,11.5,diesel,15,panne_probable
30351,8,4390,113,2.1,12.2,essence,16,entretien_conseille
93668,14,1312,79,2.6,14.1,essence,15,aucune_panne
119585,17,3007,78,1.1,13.3,diesel,18,panne_probable
212869,8,3713,125,2.8,12.5,essence,7,panne_probable
70953,15,2481,89,3.7,12.8,diesel,5,aucune_panne
287502,14,3291,112,3.5,14.2,essence,5,panne_critique
8267,18,3396,93,1.1,12.3,diesel,8,panne_probable
87745,7,4658,81,1.1,14.3,essence,3,entretien_conseille
162164,3,1274,126,1.6,11.3,essence,11,panne_critique
16338,12,2610,65,1.9,14.0,diesel,11,aucune_panne
136484,3,4304,86,2.1,14.2,diesel,16,aucune_panne
12543,14,1369,69,3.2,11.7,diesel,14,entretien_conseille
65692,15,1983,107,0.7,12.6,diesel,8,panne_critique
225156,14,1623,129,0.6,11.6,diesel,6,panne_critique
228992,7,1825,118,2.1,13.7,essence,9,panne_probable
43756,17,2229,118,3.3,13.0,diesel,15,panne_probable
23888,12,2294,61,1.3,13.4,diesel,11,entretien_conseille
171807,4,946,88,3.1,11.7,diesel,6,entretien_conseille
119352,9,4411,127,1.5,11.8,essence,17,panne_probable
90999,6,2260,124,4.0,11.2,diesel,14,panne_probable
22955,16,3100,85,4.1,12.2,diesel,5,entretien_conseille
